country,date,lat,long,temperatureLow,temperatureHigh,apparentTemperatureLow,apparentTemperatureHigh,confirmed,recovered,dead,diff,apparentDiff,outcomeRatio,survivalRate,timeDelta,dateLag
France,2/12/20,46.2276,2.2137,32.91,50.63,27.97,50.08,11,2,0,17.72,22.11,0,1,47,47
France,2/13/20,46.2276,2.2137,41.83,52.6,36.66,52.95,11,2,0,10.77,16.29,0,1,46,46
France,2/14/20,46.2276,2.2137,29.46,53.92,25.43,53.45,11,2,0,24.46,28.02,0,1,45,45
France,2/15/20,46.2276,2.2137,50.3,62.06,50.79,61.56,12,4,1,11.76,10.77,0.25,0.8,44,44
France,2/16/20,46.2276,2.2137,48.29,66.28,44.46,65.78,12,4,1,17.99,21.32,0.25,0.8,43,43
France,2/17/20,46.2276,2.2137,34.6,50.24,30.53,46.04,12,4,1,15.64,15.51,0.25,0.8,42,42
France,2/18/20,46.2276,2.2137,40.11,50.32,33.79,45.76,12,4,1,10.21,11.97,0.25,0.8,41,41
France,2/19/20,46.2276,2.2137,35.14,52.19,32.68,52.26,12,4,1,17.05,19.58,0.25,0.8,40,40
France,2/20/20,46.2276,2.2137,30.81,56.89,31.3,56.39,12,4,1,26.08,25.09,0.25,0.8,39,39
France,2/21/20,46.2276,2.2137,29.47,52.89,25.82,52.39,12,4,1,23.42,26.57,0.25,0.8,38,38
France,2/22/20,46.2276,2.2137,35.44,59.21,30.97,58.71,12,4,1,23.77,27.74,0.25,0.8,37,37
France,2/23/20,46.2276,2.2137,40.93,63,38.36,62.5,12,4,1,22.07,24.14,0.25,0.8,36,36
France,2/24/20,46.2276,2.2137,40.49,64.75,33.61,64.25,12,4,1,24.26,30.64,0.25,0.8,35,35
France,2/25/20,46.2276,2.2137,34.44,49.88,25.46,43.94,14,11,1,15.44,18.48,0.090909091,0.916666667,34,34
France,2/26/20,46.2276,2.2137,34.49,43.46,28.76,35.88,18,11,2,8.97,7.12,0.181818182,0.846153846,33,33
France,2/27/20,46.2276,2.2137,27.61,50.16,23.05,42.97,38,11,2,22.55,19.92,0.181818182,0.846153846,32,32
France,2/28/20,46.2276,2.2137,46.01,53.23,41.45,52.73,57,11,2,7.22,11.28,0.181818182,0.846153846,31,31
France,2/29/20,46.2276,2.2137,41.95,54.55,35.73,54.05,100,12,2,12.6,18.32,0.166666667,0.857142857,30,30
France,3/1/20,46.2276,2.2137,40.78,49.27,35.43,41.85,130,12,2,8.49,6.42,0.166666667,0.857142857,29,29
France,3/2/20,46.2276,2.2137,33.24,44.6,27.18,37.24,191,12,3,11.36,10.06,0.25,0.8,28,28
France,3/3/20,46.2276,2.2137,32.29,42.01,28.98,38.66,204,12,4,9.72,9.68,0.333333333,0.75,27,27
France,3/4/20,46.2276,2.2137,43.83,44.82,38.73,38.73,285,12,4,0.99,0,0.333333333,0.75,26,26
France,3/5/20,46.2276,2.2137,35.78,51.38,28.63,51.14,377,12,6,15.6,22.51,0.5,0.666666667,25,25
France,3/6/20,46.2276,2.2137,36.37,43.29,31.15,40.72,653,12,9,6.92,9.57,0.75,0.571428571,24,24
France,3/7/20,46.2276,2.2137,34.74,46.06,30.26,41.87,949,12,11,11.32,11.61,0.916666667,0.52173913,23,23
France,3/8/20,46.2276,2.2137,38.5,51.9,31.95,51.69,1126,12,19,13.4,19.74,1.583333333,0.387096774,22,22
France,3/9/20,46.2276,2.2137,39.91,48.64,36.08,43.22,1209,12,19,8.73,7.14,1.583333333,0.387096774,21,21
France,3/10/20,46.2276,2.2137,48.59,52.66,44.85,52.16,1784,12,33,4.07,7.31,2.75,0.266666667,20,20
France,3/11/20,46.2276,2.2137,46.04,60.66,43.38,60.16,2281,12,48,14.62,16.78,4,0.2,19,19
France,3/12/20,46.2276,2.2137,30.94,56.46,29.55,55.96,2281,12,48,25.52,26.41,4,0.2,18,18
France,3/13/20,46.2276,2.2137,30.77,53.89,28.26,53.39,3661,12,79,23.12,25.13,6.583333333,0.131868132,17,17
France,3/14/20,46.2276,2.2137,29.71,55.73,26.16,55.23,4469,12,91,26.02,29.07,7.583333333,0.116504854,16,16
France,3/15/20,46.2276,2.2137,39.96,66.54,40.06,66.04,4499,12,91,26.58,25.98,7.583333333,0.116504854,15,15
France,3/16/20,46.2276,2.2137,43.53,56.97,44.02,56.47,6633,12,148,13.44,12.45,12.33333333,0.075,14,14
France,3/17/20,46.2276,2.2137,36.29,62.92,36.78,62.42,7652,12,148,26.63,25.64,12.33333333,0.075,13,13
France,3/18/20,46.2276,2.2137,40.18,67.38,39.06,66.88,9043,12,148,27.2,27.82,12.33333333,0.075,12,12
France,3/19/20,46.2276,2.2137,42.46,70.86,41.42,70.36,10871,12,243,28.4,28.94,20.25,0.047058824,11,11
France,3/20/20,46.2276,2.2137,38.6,67.97,39.09,67.47,12612,12,450,29.37,28.38,37.5,0.025974026,10,10
France,3/21/20,46.2276,2.2137,39.87,63.56,37.12,63.06,14282,12,562,23.69,25.94,46.83333333,0.020905923,9,9
France,3/22/20,46.2276,2.2137,34.67,57.86,34.18,57.36,16018,2200,674,23.19,23.18,0.306363636,0.765483646,8,8
France,3/23/20,46.2276,2.2137,25.15,62.2,23.52,61.7,19856,2200,860,37.05,38.18,0.390909091,0.718954248,7,7
France,3/24/20,46.2276,2.2137,23.64,58.75,20.08,58.25,22304,3243,1100,35.11,38.17,0.339192106,0.746718858,6,6
France,3/25/20,46.2276,2.2137,23.36,56.66,23.85,56.16,25233,3900,1331,33.3,32.31,0.341282051,0.745555343,5,5
France,3/26/20,46.2276,2.2137,24.67,50.89,25.16,50.38,29155,4948,1696,26.22,25.22,0.342764753,0.744732089,4,4
France,3/27/20,46.2276,2.2137,28.69,56.35,29.18,55.85,32964,5700,1995,27.66,26.67,0.35,0.740740741,3,3
France,3/28/20,46.2276,2.2137,36.36,61.67,30.35,61.17,37575,5700,2314,25.31,30.82,0.405964912,0.711255303,2,2
Germany,2/13/20,51,9,36.39,38.09,30.56,30.56,16,1,0,1.7,0,0,1,46,46
Germany,2/14/20,51,9,33.41,44.61,28.5,39.83,16,1,0,11.2,11.33,0,1,45,45
Germany,2/15/20,51,9,41.12,47.28,35.29,41.42,16,1,0,6.16,6.13,0,1,44,44
Germany,2/16/20,51,9,41.47,57.16,36.68,56.66,16,1,0,15.69,19.98,0,1,43,43
Germany,2/17/20,51,9,38.25,48.58,30.41,42.49,16,1,0,10.33,12.08,0,1,42,42
Germany,2/18/20,51,9,37.52,42.6,30.09,34.64,16,12,0,5.08,4.55,0,1,41,41
Germany,2/19/20,51,9,33.54,41.43,27.93,33.94,16,12,0,7.89,6.01,0,1,40,40
Germany,2/20/20,51,9,34.45,44.82,27.4,37.79,16,12,0,10.37,10.39,0,1,39,39
Germany,2/21/20,51,9,36.2,44.41,27.95,38.22,16,14,0,8.21,10.27,0,1,38,38
Germany,2/22/20,51,9,43.26,51.03,37.21,50.41,16,14,0,7.77,13.2,0,1,37,37
Germany,2/23/20,51,9,33.03,51.4,29.67,51.53,16,14,0,18.37,21.86,0,1,36,36
Germany,2/24/20,51,9,43.69,48.31,38.72,41.58,16,14,0,4.62,2.86,0,1,35,35
Germany,2/25/20,51,9,32.52,45.07,23.38,39.47,17,14,0,12.55,16.09,0,1,34,34
Germany,2/26/20,51,9,32.33,39.78,26.28,33.35,27,15,0,7.45,7.07,0,1,33,33
Germany,2/27/20,51,9,29.62,37.1,24.32,29.7,46,16,0,7.48,5.38,0,1,32,32
Germany,2/28/20,51,9,34.83,41.18,25.88,34.85,48,16,0,6.35,8.97,0,1,31,31
Germany,2/29/20,51,9,37.83,52.46,29.78,52.65,79,16,0,14.63,22.87,0,1,30,30
Germany,3/1/20,51,9,34.37,47.53,28.82,41.29,130,16,0,13.16,12.47,0,1,29,29
Germany,3/2/20,51,9,35.63,48.31,30.46,45.26,159,16,0,12.68,14.8,0,1,28,28
Germany,3/3/20,51,9,28.48,44.24,24.03,39.08,196,16,0,15.76,15.05,0,1,27,27
Germany,3/4/20,51,9,32.08,44.67,29.15,40,262,16,0,12.59,10.85,0,1,26,26
Germany,3/5/20,51,9,38.02,42.18,32.91,37,482,16,0,4.16,4.09,0,1,25,25
Germany,3/6/20,51,9,34.78,40.55,29.5,34.79,670,17,0,5.77,5.29,0,1,24,24
Germany,3/7/20,51,9,33.38,44.23,28.38,39.88,799,18,0,10.85,11.5,0,1,23,23
Germany,3/8/20,51,9,39.59,47.64,35.97,41.31,1040,18,0,8.05,5.34,0,1,22,22
Germany,3/9/20,51,9,36.55,48.2,27.63,43.5,1176,18,2,11.65,15.87,0.111111111,0.9,21,21
Germany,3/10/20,51,9,48.86,50.03,44.7,44.7,1457,18,2,1.17,0,0.111111111,0.9,20,20
Germany,3/11/20,51,9,47.83,52.46,42.16,51.96,1908,25,3,4.63,9.8,0.12,0.892857143,19,19
Germany,3/12/20,51,9,37.41,48.96,30.14,42.28,2078,25,3,11.55,12.14,0.12,0.892857143,18,18
Germany,3/13/20,51,9,32.33,47.68,32.82,41.01,3675,46,7,15.35,8.19,0.152173913,0.867924528,17,17
Germany,3/14/20,51,9,36.11,47.24,31.59,45.03,4585,46,9,11.13,13.44,0.195652174,0.836363636,16,16
Germany,3/15/20,51,9,34.16,54.22,33.11,53.72,5795,46,11,20.06,20.61,0.239130435,0.807017544,15,15
Germany,3/16/20,51,9,40.86,60.31,41.35,59.81,7272,67,17,19.45,18.46,0.253731343,0.797619048,14,14
Germany,3/17/20,51,9,35.21,58.09,34.36,57.59,9257,67,24,22.88,23.23,0.358208955,0.736263736,13,13
Germany,3/18/20,51,9,38.99,60.21,39.48,59.71,12327,105,28,21.22,20.23,0.266666667,0.789473684,12,12
Germany,3/19/20,51,9,40.72,61.58,38.17,61.08,15320,113,44,20.86,22.91,0.389380531,0.719745223,11,11
Germany,3/20/20,51,9,35.11,50.83,27.64,50.32,19848,180,67,15.72,22.68,0.372222222,0.728744939,10,10
Germany,3/21/20,51,9,27.75,43.89,20.47,36.36,22213,233,84,16.14,15.89,0.360515021,0.735015773,9,9
Germany,3/22/20,51,9,23.44,43.48,17.85,36.59,24873,266,94,20.04,18.74,0.353383459,0.738888889,8,8
Germany,3/23/20,51,9,22.89,46.84,21.33,42.4,29056,266,123,23.95,21.07,0.462406015,0.683804627,7,7
Germany,3/24/20,51,9,22.67,48.6,21.03,45.05,32986,3243,157,25.93,24.02,0.048411964,0.953823529,6,6
Germany,3/25/20,51,9,27.89,49.84,20.94,44.7,37323,3547,206,21.95,23.76,0.058077248,0.945110578,5,5
Germany,3/26/20,51,9,32.29,48.76,26.83,43.5,43938,5673,267,16.47,16.67,0.047065045,0.955050505,4,4
Germany,3/27/20,51,9,36.4,58.47,32.63,57.97,50871,6658,342,22.07,25.34,0.051366777,0.951142857,3,3
Germany,3/28/20,51,9,34.88,58.56,28.4,58.06,57695,8481,433,23.68,29.66,0.0510553,0.951424725,2,2
Italy,2/21/20,43,12,32.96,62.27,33.45,61.77,20,0,1,29.31,28.32,inf,0,38,38
Italy,2/22/20,43,12,32.93,64.44,33.42,63.94,62,1,2,31.51,30.52,2,0.333333333,37,37
Italy,2/23/20,43,12,37.61,67.31,34.94,66.81,155,2,3,29.7,31.87,1.5,0.4,36,36
Italy,2/24/20,43,12,42.92,64.65,40.01,64.15,229,1,7,21.73,24.14,7,0.125,35,35
Italy,2/25/20,43,12,46.13,61.85,43.9,61.35,322,1,10,15.72,17.45,10,0.090909091,34,34
Italy,2/26/20,43,12,29.45,57.27,29.94,56.77,453,3,12,27.82,26.83,4,0.2,33,33
Italy,2/27/20,43,12,44.59,58.06,41.45,57.56,655,45,17,13.47,16.11,0.377777778,0.725806452,32,32
Italy,2/28/20,43,12,29.96,60.6,26.81,60.1,888,46,21,30.64,33.29,0.456521739,0.686567164,31,31
Italy,2/29/20,43,12,46.43,61.35,42.57,60.85,1128,46,29,14.92,18.28,0.630434783,0.613333333,30,30
Italy,3/1/20,43,12,41.99,58.74,38.16,58.24,1694,83,34,16.75,20.08,0.409638554,0.709401709,29,29
Italy,3/2/20,43,12,41.79,59.81,39.17,59.31,2036,149,52,18.02,20.14,0.348993289,0.741293532,28,28
Italy,3/3/20,43,12,33.34,53.02,33.83,52.52,2502,160,79,19.68,18.69,0.49375,0.669456067,27,27
Italy,3/4/20,43,12,30.51,52.57,31,52.07,3089,276,107,22.06,21.07,0.387681159,0.720626632,26,26
Italy,3/5/20,43,12,46.29,56.86,41.05,56.36,3858,414,148,10.57,15.31,0.357487923,0.736654804,25,25
Italy,3/6/20,43,12,38.63,60.2,36.85,59.7,4636,523,197,21.57,22.85,0.37667304,0.726388889,24,24
Italy,3/7/20,43,12,39.18,56.06,35.3,55.56,5883,589,233,16.88,20.26,0.395585739,0.716545012,23,23
Italy,3/8/20,43,12,31.44,57.21,29.34,56.71,7375,622,366,25.77,27.37,0.588424437,0.629554656,22,22
Italy,3/9/20,43,12,34.19,59.02,31.64,58.52,9172,724,463,24.83,26.88,0.639502762,0.609941028,21,21
Italy,3/10/20,43,12,34.97,62.19,35.46,61.69,10149,724,631,27.22,26.23,0.871546961,0.534317343,20,20
Italy,3/11/20,43,12,39.36,70.13,39.85,69.63,12462,1045,827,30.77,29.78,0.79138756,0.558226496,19,19
Italy,3/12/20,43,12,40.06,66.88,38.65,66.38,12462,1045,827,26.82,27.73,0.79138756,0.558226496,18,18
Italy,3/13/20,43,12,43.39,67.92,43.88,67.42,17660,1439,1266,24.53,23.54,0.879777623,0.531977819,17,17
Italy,3/14/20,43,12,41.51,65,37.65,64.5,21157,1966,1441,23.49,26.85,0.732960326,0.577047256,16,16
Italy,3/15/20,43,12,32.08,59.88,32.57,59.38,24747,2335,1809,27.8,26.81,0.774732334,0.563465251,15,15
Italy,3/16/20,43,12,33.54,66.48,34.03,65.98,27980,2749,2158,32.94,31.95,0.785012732,0.560220094,14,14
Italy,3/17/20,43,12,36.12,67.91,36.61,67.41,31506,2941,2503,31.79,30.8,0.851071064,0.540227774,13,13
Italy,3/18/20,43,12,37.93,67.46,38.42,66.96,35713,4025,2978,29.53,28.54,0.739875776,0.574753677,12,12
Italy,3/19/20,43,12,38.42,72.76,38.91,72.26,41035,4440,3405,34.34,33.35,0.766891892,0.565965583,11,11
Italy,3/20/20,43,12,39.66,70.93,40.15,70.43,47021,4440,4032,31.27,30.28,0.908108108,0.52407932,10,10
Italy,3/21/20,43,12,43.24,70.22,43.73,69.72,53578,6072,4825,26.98,25.99,0.794631094,0.557217583,9,9
Italy,3/22/20,43,12,36.38,62.11,27.96,61.61,59138,7024,5476,25.73,33.65,0.779612756,0.56192,8,8
Italy,3/23/20,43,12,32.15,44.46,25.79,35.84,63927,7024,6077,12.31,10.05,0.865176538,0.536142279,7,7
Italy,3/24/20,43,12,31.81,47.17,26.61,39.84,69176,8326,6820,15.36,13.23,0.819120826,0.549716097,6,6
Italy,3/25/20,43,12,37.79,47.38,29.81,39.28,74386,9362,7503,9.59,9.47,0.801431318,0.555114142,5,5
Italy,3/26/20,43,12,44.27,48.2,37.85,40.24,80589,10361,8215,3.93,2.39,0.792877135,0.557762705,4,4
Italy,3/27/20,43,12,43.68,57.93,41.47,57.43,86498,10950,9134,14.25,15.96,0.834155251,0.545210118,3,3
Italy,3/28/20,43,12,35.64,63.4,36.13,62.9,92472,12384,10023,27.76,26.77,0.809350775,0.552684429,2,2
Spain,2/15/20,40,-4,36.5,63.42,34.89,62.92,2,2,0,26.92,28.03,0,1,44,44
Spain,2/16/20,40,-4,40.04,64.52,36.34,64.02,2,2,0,24.48,27.68,0,1,43,43
Spain,2/17/20,40,-4,40.4,60.3,35.58,59.8,2,2,0,19.9,24.22,0,1,42,42
Spain,2/18/20,40,-4,36.65,59.6,32.98,59.1,2,2,0,22.95,26.12,0,1,41,41
Spain,2/19/20,40,-4,32.88,63.64,33.17,63.14,2,2,0,30.76,29.97,0,1,40,40
Spain,2/20/20,40,-4,34.45,64.33,30.85,63.83,2,2,0,29.88,32.98,0,1,39,39
Spain,2/21/20,40,-4,34.52,69.97,35.01,69.47,2,2,0,35.45,34.46,0,1,38,38
Spain,2/22/20,40,-4,36.42,71.39,32.93,70.89,2,2,0,34.97,37.96,0,1,37,37
Spain,2/23/20,40,-4,36.79,72.43,37.28,71.93,2,2,0,35.64,34.65,0,1,36,36
Spain,2/24/20,40,-4,39.46,72.4,36.16,71.9,2,2,0,32.94,35.74,0,1,35,35
Spain,2/25/20,40,-4,37.94,66.8,36.45,66.3,6,2,0,28.86,29.85,0,1,34,34
Spain,2/26/20,40,-4,36.34,64.05,33.06,63.55,13,2,0,27.71,30.49,0,1,33,33
Spain,2/27/20,40,-4,36.57,67.24,37.06,66.74,15,2,0,30.67,29.68,0,1,32,32
Spain,2/28/20,40,-4,45.07,69.28,40.54,68.78,32,2,0,24.21,28.24,0,1,31,31
Spain,2/29/20,40,-4,45.54,58.49,39.08,57.99,45,2,0,12.95,18.91,0,1,30,30
Spain,3/1/20,40,-4,52.81,59.77,53.3,59.27,84,2,0,6.96,5.97,0,1,29,29
Spain,3/2/20,40,-4,39.67,58.52,33.38,58.02,120,2,0,18.85,24.64,0,1,28,28
Spain,3/3/20,40,-4,51.48,58.36,51.97,57.86,165,2,1,6.88,5.89,0.5,0.666666667,27,27
Spain,3/4/20,40,-4,49.17,64.04,44.94,63.54,222,2,2,14.87,18.6,1,0.5,26,26
Spain,3/5/20,40,-4,40.72,61.96,32.71,61.46,259,2,3,21.24,28.75,1.5,0.4,25,25
Spain,3/6/20,40,-4,38.79,58.39,33.63,57.89,400,2,5,19.6,24.26,2.5,0.285714286,24,24
Spain,3/7/20,40,-4,32.3,63.45,31.11,62.95,500,30,10,31.15,31.84,0.333333333,0.75,23,23
Spain,3/8/20,40,-4,37.67,65.23,34.25,64.73,673,30,17,27.56,30.48,0.566666667,0.638297872,22,22
Spain,3/9/20,40,-4,38.76,67.77,39.25,67.27,1073,32,28,29.01,28.02,0.875,0.533333333,21,21
Spain,3/10/20,40,-4,43.3,74.66,43.79,74.16,1695,32,35,31.36,30.37,1.09375,0.47761194,20,20
Spain,3/11/20,40,-4,49.19,79.82,48.56,79.32,2277,183,54,30.63,30.76,0.295081967,0.772151899,19,19
Spain,3/12/20,40,-4,49.58,80.1,50.07,79.6,2277,183,55,30.52,29.53,0.300546448,0.768907563,18,18
Spain,3/13/20,40,-4,46.04,74.41,43.84,73.91,5232,193,133,28.37,30.07,0.689119171,0.59202454,17,17
Spain,3/14/20,40,-4,45.41,72.95,45.9,72.45,6391,517,195,27.54,26.55,0.377176015,0.726123596,16,16
Spain,3/15/20,40,-4,39.29,69.9,33.05,69.4,7798,517,289,30.61,36.35,0.558994197,0.641439206,15,15
Spain,3/16/20,40,-4,34.59,49.74,30.17,48.04,9942,530,342,15.15,17.87,0.645283019,0.607798165,14,14
Spain,3/17/20,40,-4,40.92,63.19,37.88,62.69,11748,1028,533,22.27,24.81,0.51848249,0.65855221,13,13
Spain,3/18/20,40,-4,42.67,66.08,39.21,65.58,13910,1081,623,23.41,26.37,0.576318224,0.634389671,12,12
Spain,3/19/20,40,-4,43.47,64.55,38.81,64.05,17963,1107,830,21.08,25.24,0.749774164,0.571502323,11,11
Spain,3/20/20,40,-4,43.84,63.63,38.93,63.13,20410,1588,1043,19.79,24.2,0.656801008,0.603572786,10,10
Spain,3/21/20,40,-4,37.13,53.63,33.7,53.13,25374,2125,1375,16.5,19.43,0.647058824,0.607142857,9,9
Spain,3/22/20,40,-4,44.27,59.62,40.09,59.12,28768,2575,1772,15.35,19.03,0.68815534,0.592362549,8,8
Spain,3/23/20,40,-4,46.21,60.74,41.04,60.24,35136,2575,2311,14.53,19.2,0.897475728,0.527015964,7,7
Spain,3/24/20,40,-4,39.58,61.28,38.29,60.78,39885,3794,2808,21.7,22.49,0.740115973,0.574674341,6,6
Spain,3/25/20,40,-4,36.79,63.39,32.95,62.89,49515,5367,3647,26.6,29.94,0.679523011,0.595407144,5,5
Spain,3/26/20,40,-4,39.19,65.08,31.01,64.58,57786,7015,4365,25.89,33.57,0.622238061,0.616432337,4,4
Spain,3/27/20,40,-4,30.33,53.32,26.73,52.82,65719,9357,5138,22.99,26.09,0.54910762,0.645532942,3,3
Spain,3/28/20,40,-4,33.53,62.51,34.02,62.01,73235,12285,5982,28.98,27.99,0.486935287,0.672524224,2,2
United Kingdom,2/12/20,55.3781,-3.436,27.32,35.63,21.31,25.51,9,1,0,8.31,4.2,0,1,47,47
United Kingdom,2/13/20,55.3781,-3.436,30.7,36.85,23.42,29.41,9,1,0,6.15,5.99,0,1,46,46
United Kingdom,2/14/20,55.3781,-3.436,34.36,41.49,27.55,32.59,9,1,0,7.13,5.04,0,1,45,45
United Kingdom,2/15/20,55.3781,-3.436,34.47,45.91,23.79,36,9,1,0,11.44,12.21,0,1,44,44
United Kingdom,2/16/20,55.3781,-3.436,34.13,37.8,21.24,26.17,9,8,0,3.67,4.93,0,1,43,43
United Kingdom,2/17/20,55.3781,-3.436,33.29,40.4,23.07,30.5,9,8,0,7.11,7.43,0,1,42,42
United Kingdom,2/18/20,55.3781,-3.436,32.11,37.97,23.19,27.65,9,8,0,5.86,4.46,0,1,41,41
United Kingdom,2/19/20,55.3781,-3.436,36.42,42.51,27.17,33.48,9,8,0,6.09,6.31,0,1,40,40
United Kingdom,2/20/20,55.3781,-3.436,32.61,40.57,22.4,31.57,9,8,0,7.96,9.17,0,1,39,39
United Kingdom,2/21/20,55.3781,-3.436,34.14,44.36,22.7,34.84,9,8,0,10.22,12.14,0,1,38,38
United Kingdom,2/22/20,55.3781,-3.436,32.75,37.09,21.9,24.61,9,8,0,4.34,2.71,0,1,37,37
United Kingdom,2/23/20,55.3781,-3.436,30.12,38.38,19.16,27.95,9,8,0,8.26,8.79,0,1,36,36
United Kingdom,2/24/20,55.3781,-3.436,31.79,35.85,21.6,30.47,13,8,0,4.06,8.87,0,1,35,35
United Kingdom,2/25/20,55.3781,-3.436,29.56,36.83,22.68,29.1,13,8,0,7.27,6.42,0,1,34,34
United Kingdom,2/26/20,55.3781,-3.436,28.95,37.13,20.19,27.37,13,8,0,8.18,7.18,0,1,33,33
United Kingdom,2/27/20,55.3781,-3.436,30.92,36.65,23.83,25.91,15,8,0,5.73,2.08,0,1,32,32
United Kingdom,2/28/20,55.3781,-3.436,33.93,41.39,24.54,34.82,20,8,0,7.46,10.28,0,1,31,31
United Kingdom,2/29/20,55.3781,-3.436,32.9,36.35,21.11,26.86,23,8,0,3.45,5.75,0,1,30,30
United Kingdom,3/1/20,55.3781,-3.436,30.25,38.69,23.7,27.57,36,8,0,8.44,3.87,0,1,29,29
United Kingdom,3/2/20,55.3781,-3.436,31.09,37.03,23.68,28.46,40,8,0,5.94,4.78,0,1,28,28
United Kingdom,3/3/20,55.3781,-3.436,28.58,41.6,26.84,33.69,51,8,0,13.02,6.85,0,1,27,27
United Kingdom,3/4/20,55.3781,-3.436,26.69,41.06,27.18,36.68,85,8,0,14.37,9.5,0,1,26,26
United Kingdom,3/5/20,55.3781,-3.436,27.65,43.81,28.14,43.31,115,8,1,16.16,15.17,0.125,0.888888889,25,25
United Kingdom,3/6/20,55.3781,-3.436,30.8,40.2,25.16,34.99,163,8,2,9.4,9.83,0.25,0.8,24,24
United Kingdom,3/7/20,55.3781,-3.436,37.8,44.36,29.77,35.38,206,18,2,6.56,5.61,0.111111111,0.9,23,23
United Kingdom,3/8/20,55.3781,-3.436,35.03,42.49,29.17,33.71,273,18,3,7.46,4.54,0.166666667,0.857142857,22,22
United Kingdom,3/9/20,55.3781,-3.436,39.9,41.6,31.43,33.64,321,18,4,1.7,2.21,0.222222222,0.818181818,21,21
United Kingdom,3/10/20,55.3781,-3.436,33.82,43.49,25.82,35.44,382,18,6,9.67,9.62,0.333333333,0.75,20,20
United Kingdom,3/11/20,55.3781,-3.436,29.75,40.65,18.8,30.18,456,18,8,10.9,11.38,0.444444444,0.692307692,19,19
United Kingdom,3/12/20,55.3781,-3.436,30.42,38.28,23.88,26.62,456,18,8,7.86,2.74,0.444444444,0.692307692,18,18
United Kingdom,3/13/20,55.3781,-3.436,33.57,40.47,26.37,33.41,798,18,8,6.9,7.04,0.444444444,0.692307692,17,17
United Kingdom,3/14/20,55.3781,-3.436,37.1,41.68,27.45,32.06,1140,18,21,4.58,4.61,1.166666667,0.461538462,16,16
United Kingdom,3/15/20,55.3781,-3.436,32.58,41.62,28.84,33.62,1140,18,21,9.04,4.78,1.166666667,0.461538462,15,15
United Kingdom,3/16/20,55.3781,-3.436,37.83,42.95,28.94,33.79,1543,20,55,5.12,4.85,2.75,0.266666667,14,14
United Kingdom,3/17/20,55.3781,-3.436,33.89,44.93,26.92,37.18,1950,52,55,11.04,10.26,1.057692308,0.485981308,13,13
United Kingdom,3/18/20,55.3781,-3.436,29.25,41.2,25.19,33.11,2626,65,71,11.95,7.92,1.092307692,0.477941176,12,12
United Kingdom,3/19/20,55.3781,-3.436,28.2,44.53,23.32,40.36,2689,65,137,16.33,17.04,2.107692308,0.321782178,11,11
United Kingdom,3/20/20,55.3781,-3.436,32.41,44.59,25.21,38.7,3983,65,177,12.18,13.49,2.723076923,0.268595041,10,10
United Kingdom,3/21/20,55.3781,-3.436,27.41,46,23.12,39.27,5018,65,233,18.59,16.15,3.584615385,0.218120805,9,9
United Kingdom,3/22/20,55.3781,-3.436,29.61,46.96,22.97,41.91,5683,65,281,17.35,18.94,4.323076923,0.187861272,8,8
United Kingdom,3/23/20,55.3781,-3.436,36.84,46.42,29.83,39.86,6650,65,335,9.58,10.03,5.153846154,0.1625,7,7
United Kingdom,3/24/20,55.3781,-3.436,39.44,49.23,32.62,41.53,8077,135,422,9.79,8.91,3.125925926,0.242369838,6,6
United Kingdom,3/25/20,55.3781,-3.436,36.69,52.22,37.18,51.73,9529,135,465,15.53,14.55,3.444444444,0.225,5,5
United Kingdom,3/26/20,55.3781,-3.436,36.94,53.72,34.71,53.22,11658,135,578,16.78,18.51,4.281481481,0.189340813,4,4
United Kingdom,3/27/20,55.3781,-3.436,33.53,49.81,27.34,46.82,14543,135,759,16.28,19.48,5.622222222,0.151006711,3,3
United Kingdom,3/28/20,55.3781,-3.436,30.03,42.6,21.22,34.83,17089,135,1019,12.57,13.61,7.548148148,0.116984402,2,2